time,ueId,lcId,tpt,gfbr,mfbr
4,1,4,0.00000,1600.00,4000.00
5,1,4,0.00000,1600.00,4000.00
6,1,4,0.00000,1600.00,4000.00
6,2,4,0.00000,1600.00,4000.00
7,1,4,0.00000,1600.00,4000.00
7,2,4,0.00000,1600.00,4000.00
8,1,4,0.00000,1600.00,4000.00
8,2,4,0.00000,1600.00,4000.00
9,1,4,0.00000,1600.00,4000.00
9,2,4,0.00000,1600.00,4000.00
9,3,4,0.00000,1600.00,4000.00
10,1,4,0.00000,1600.00,4000.00
10,2,4,0.00000,1600.00,4000.00
10,3,4,0.00000,1600.00,4000.00
11,1,4,0.00000,1600.00,4000.00
11,2,4,0.00000,1600.00,4000.00
11,3,4,0.00000,1600.00,4000.00
11,4,4,0.00000,0,4000.00
12,1,4,0.00000,1600.00,4000.00
12,2,4,0.00000,1600.00,4000.00
12,3,4,0.00000,1600.00,4000.00
12,4,4,0.00000,0,4000.00
13,1,4,0.00000,1600.00,4000.00
13,2,4,0.00000,1600.00,4000.00
13,3,4,0.00000,1600.00,4000.00
13,4,4,0.00000,0,4000.00
14,1,4,172.04800,1600.00,4000.00
14,2,4,164.56800,1600.00,4000.00
14,3,4,172.70400,1600.00,4000.00
14,4,4,164.83200,0,4000.00
15,1,4,1012.50400,1600.00,4000.00
15,2,4,1019.76000,1600.00,4000.00
15,3,4,1011.51200,1600.00,4000.00
15,4,4,1022.37600,0,4000.00
16,1,4,1011.74400,1600.00,4000.00
16,2,4,1011.62400,1600.00,4000.00
16,3,4,1011.63200,1600.00,4000.00
16,4,4,1013.99200,0,4000.00
17,1,4,1011.66400,1600.00,4000.00
17,2,4,1011.58400,1600.00,4000.00
17,3,4,1011.67200,1600.00,4000.00
17,4,4,1014.75200,0,4000.00
18,1,4,1011.48800,1600.00,4000.00
18,2,4,1011.47200,1600.00,4000.00
18,3,4,1011.48000,1600.00,4000.00
18,4,4,1014.45600,0,4000.00
19,1,4,1019.87200,1600.00,4000.00
19,2,4,1019.81600,1600.00,4000.00
19,3,4,1019.83200,1600.00,4000.00
19,4,4,1022.49600,0,4000.00
20,1,4,1011.53600,1600.00,4000.00
20,2,4,1011.59200,1600.00,4000.00
20,3,4,1011.48000,1600.00,4000.00
20,4,4,1014.68000,0,4000.00
21,1,4,1019.77600,1600.00,4000.00
21,2,4,1019.84800,1600.00,4000.00
21,3,4,1019.77600,1600.00,4000.00
21,4,4,1018.75200,0,4000.00
22,1,4,1011.70400,1600.00,4000.00
22,2,4,1011.55200,1600.00,4000.00
22,3,4,1011.63200,1600.00,4000.00
22,4,4,1019.47200,0,4000.00
23,1,4,1011.69600,1600.00,4000.00
23,2,4,1011.55200,1600.00,4000.00
23,3,4,1011.52800,1600.00,4000.00
23,4,4,1014.48800,0,4000.00
24,1,4,987.02400,1600.00,4000.00
24,2,4,986.88000,1600.00,4000.00
24,3,4,986.88000,1600.00,4000.00
24,4,4,989.28000,0,4000.00
25,1,4,0.00000,1600.00,4000.00
25,2,4,0.00000,1600.00,4000.00
25,3,4,0.00000,1600.00,4000.00
25,4,4,0.00000,0,4000.00
26,1,4,0.00000,1600.00,4000.00
26,2,4,0.00000,1600.00,4000.00
26,3,4,0.00000,1600.00,4000.00
26,4,4,0.00000,0,4000.00
27,1,4,0.00000,1600.00,4000.00
27,2,4,0.00000,1600.00,4000.00
27,3,4,0.00000,1600.00,4000.00
27,4,4,0.00000,0,4000.00
