time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,1200.00,1280.00
1,1,5,0.00000,1360.00,1440.00
1,1,6,0.00000,1520.00,1600.00
1,1,7,0.00000,,
2,1,4,0.00000,1200.00,1280.00
2,1,5,0.00000,1360.00,1440.00
2,1,6,0.00000,1520.00,1600.00
2,1,7,0.00000,,
3,1,4,0.00000,1200.00,1280.00
3,1,5,0.00000,1360.00,1440.00
3,1,6,0.00000,1520.00,1600.00
3,1,7,0.00000,,
4,1,4,1203.62400,1200.00,1280.00
4,1,5,466.91200,1360.00,1440.00
4,1,6,1526.59200,1520.00,1600.00
4,1,7,0.00000,,
5,1,4,1204.48000,1200.00,1280.00
5,1,5,880.75200,1360.00,1440.00
5,1,6,1524.28000,1520.00,1600.00
5,1,7,0.00000,,
6,1,4,1200.55200,1200.00,1280.00
6,1,5,741.49600,1360.00,1440.00
6,1,6,1520.67200,1520.00,1600.00
6,1,7,0.00000,,
7,1,4,1204.48000,1200.00,1280.00
7,1,5,873.21600,1360.00,1440.00
7,1,6,1520.67200,1520.00,1600.00
7,1,7,0.00000,,
8,1,4,1204.48000,1200.00,1280.00
8,1,5,888.28800,1360.00,1440.00
8,1,6,1524.28000,1520.00,1600.00
8,1,7,0.00000,,
9,1,4,1200.55200,1200.00,1280.00
9,1,5,888.28800,1360.00,1440.00
9,1,6,1520.67200,1520.00,1600.00
9,1,7,0.00000,,
10,1,4,1204.48000,1200.00,1280.00
10,1,5,888.28800,1360.00,1440.00
10,1,6,1520.67200,1520.00,1600.00
10,1,7,0.00000,,
11,1,4,1204.48000,1200.00,1280.00
11,1,5,669.74400,1360.00,1440.00
11,1,6,1524.28000,1520.00,1600.00
11,1,7,0.00000,,
12,1,4,1200.87200,1200.00,1280.00
12,1,5,850.60800,1360.00,1440.00
12,1,6,1520.67200,1520.00,1600.00
12,1,7,0.00000,,
13,1,4,1200.55200,1200.00,1280.00
13,1,5,816.85600,1360.00,1440.00
13,1,6,1520.67200,1520.00,1600.00
13,1,7,0.00000,,
14,1,4,1200.55200,1200.00,1280.00
14,1,5,647.45600,1360.00,1440.00
14,1,6,1520.67200,1520.00,1600.00
14,1,7,0.00000,,
15,1,4,1200.55200,1200.00,1280.00
15,1,5,888.28800,1360.00,1440.00
15,1,6,1520.67200,1520.00,1600.00
15,1,7,0.00000,,
16,1,4,1204.48000,1200.00,1280.00
16,1,5,903.36000,1360.00,1440.00
16,1,6,1520.67200,1520.00,1600.00
16,1,7,0.00000,,
17,1,4,1204.48000,1200.00,1280.00
17,1,5,387.62400,1360.00,1440.00
17,1,6,1524.28000,1520.00,1600.00
17,1,7,0.00000,,
18,1,4,1204.48000,1200.00,1280.00
18,1,5,843.07200,1360.00,1440.00
18,1,6,1524.28000,1520.00,1600.00
18,1,7,0.00000,,
19,1,4,1204.48000,1200.00,1280.00
19,1,5,572.09600,1360.00,1440.00
19,1,6,1520.67200,1520.00,1600.00
19,1,7,0.00000,,
20,1,4,546.08800,1200.00,1280.00
20,1,5,674.83200,1360.00,1440.00
20,1,6,1209.43200,1520.00,1600.00
20,1,7,1039.43200,,
21,1,4,0.00000,1200.00,1280.00
21,1,5,0.00000,1360.00,1440.00
21,1,6,0.00000,1520.00,1600.00
21,1,7,174.65600,,
22,1,4,0.00000,1200.00,1280.00
22,1,5,0.00000,1360.00,1440.00
22,1,6,0.00000,1520.00,1600.00
22,1,7,0.00000,,
