time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,80.00,120.00
1,1,5,0.00000,80.00,160.00
1,1,6,0.00000,80.00,200.00
1,1,7,0.00000,,
2,1,4,0.00000,80.00,120.00
2,1,5,0.00000,80.00,160.00
2,1,6,0.00000,80.00,200.00
2,1,7,0.00000,,
3,1,4,0.00000,80.00,120.00
3,1,5,0.00000,80.00,160.00
3,1,6,0.00000,80.00,200.00
3,1,7,0.00000,,
4,1,4,0.00000,80.00,120.00
4,1,5,0.00000,80.00,160.00
4,1,6,0.00000,80.00,200.00
4,1,7,0.00000,,
5,1,4,0.00000,80.00,120.00
5,1,5,0.00000,80.00,160.00
5,1,6,0.00000,80.00,200.00
5,1,7,0.00000,,
6,1,4,118.63200,80.00,120.00
6,1,5,158.64800,80.00,160.00
6,1,6,198.66400,80.00,200.00
6,1,7,216.92000,,
7,1,4,118.57600,80.00,120.00
7,1,5,158.80000,80.00,160.00
7,1,6,198.68800,80.00,200.00
7,1,7,222.29600,,
8,1,4,118.63200,80.00,120.00
8,1,5,155.04800,80.00,160.00
8,1,6,198.65600,80.00,200.00
8,1,7,220.70400,,
9,1,4,118.60800,80.00,120.00
9,1,5,158.72000,80.00,160.00
9,1,6,198.67200,80.00,200.00
9,1,7,220.64000,,
10,1,4,118.60000,80.00,120.00
10,1,5,156.88000,80.00,160.00
10,1,6,198.66400,80.00,200.00
10,1,7,218.76000,,
11,1,4,118.56000,80.00,120.00
11,1,5,158.71200,80.00,160.00
11,1,6,198.71200,80.00,200.00
11,1,7,220.47200,,
12,1,4,118.52800,80.00,120.00
12,1,5,158.64000,80.00,160.00
12,1,6,198.70400,80.00,200.00
12,1,7,220.59200,,
13,1,4,118.55200,80.00,120.00
13,1,5,158.66400,80.00,160.00
13,1,6,198.69600,80.00,200.00
13,1,7,222.46400,,
14,1,4,118.66400,80.00,120.00
14,1,5,156.90400,80.00,160.00
14,1,6,198.65600,80.00,200.00
14,1,7,224.25600,,
15,1,4,118.51200,80.00,120.00
15,1,5,158.59200,80.00,160.00
15,1,6,198.66400,80.00,200.00
15,1,7,222.32000,,
16,1,4,118.69600,80.00,120.00
16,1,5,156.87200,80.00,160.00
16,1,6,198.67200,80.00,200.00
16,1,7,222.36800,,
17,1,4,118.56800,80.00,120.00
17,1,5,158.60000,80.00,160.00
17,1,6,198.64000,80.00,200.00
17,1,7,220.74400,,
18,1,4,118.56800,80.00,120.00
18,1,5,158.66400,80.00,160.00
18,1,6,198.73600,80.00,200.00
18,1,7,220.52000,,
19,1,4,118.60000,80.00,120.00
19,1,5,153.28800,80.00,160.00
19,1,6,198.65600,80.00,200.00
19,1,7,220.63200,,
20,1,4,118.58400,80.00,120.00
20,1,5,158.63200,80.00,160.00
20,1,6,198.68000,80.00,200.00
20,1,7,220.40800,,
21,1,4,118.66400,80.00,120.00
21,1,5,133.16000,80.00,160.00
21,1,6,133.12800,80.00,200.00
21,1,7,133.08800,,
22,1,4,0.00000,80.00,120.00
22,1,5,0.00000,80.00,160.00
22,1,6,0.00000,80.00,200.00
22,1,7,0.00000,,
23,1,4,0.00000,80.00,120.00
23,1,5,0.00000,80.00,160.00
23,1,6,0.00000,80.00,200.00
23,1,7,0.00000,,
