time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,1600.00,2400.00
1,1,5,0.00000,1600.00,2400.00
1,1,6,0.00000,1600.00,2400.00
1,1,7,0.00000,1600.00,2400.00
2,1,4,0.00000,1600.00,2400.00
2,1,5,0.00000,1600.00,2400.00
2,1,6,0.00000,1600.00,2400.00
2,1,7,0.00000,1600.00,2400.00
3,1,4,0.00000,1600.00,2400.00
3,1,5,0.00000,1600.00,2400.00
3,1,6,0.00000,1600.00,2400.00
3,1,7,0.00000,1600.00,2400.00
4,1,4,124.85600,1600.00,2400.00
4,1,5,138.41600,1600.00,2400.00
4,1,6,145.63200,1600.00,2400.00
4,1,7,0.00000,1600.00,2400.00
5,1,4,180.82400,1600.00,2400.00
5,1,5,1541.51200,1600.00,2400.00
5,1,6,1617.94400,1600.00,2400.00
5,1,7,0.00000,1600.00,2400.00
6,1,4,415.70400,1600.00,2400.00
6,1,5,1598.24800,1600.00,2400.00
6,1,6,1600.67200,1600.00,2400.00
6,1,7,0.00000,1600.00,2400.00
7,1,4,378.46400,1600.00,2400.00
7,1,5,1600.67200,1600.00,2400.00
7,1,6,1605.85600,1600.00,2400.00
7,1,7,0.00000,1600.00,2400.00
8,1,4,409.33600,1600.00,2400.00
8,1,5,1608.23200,1600.00,2400.00
8,1,6,1600.64800,1600.00,2400.00
8,1,7,0.00000,1600.00,2400.00
9,1,4,408.14400,1600.00,2400.00
9,1,5,1593.15200,1600.00,2400.00
9,1,6,1605.83200,1600.00,2400.00
9,1,7,0.00000,1600.00,2400.00
10,1,4,419.46400,1600.00,2400.00
10,1,5,1590.74400,1600.00,2400.00
10,1,6,1600.67200,1600.00,2400.00
10,1,7,0.00000,1600.00,2400.00
11,1,4,334.52000,1600.00,2400.00
11,1,5,1610.55200,1600.00,2400.00
11,1,6,1605.86400,1600.00,2400.00
11,1,7,0.00000,1600.00,2400.00
12,1,4,420.60000,1600.00,2400.00
12,1,5,1600.67200,1600.00,2400.00
12,1,6,1600.66400,1600.00,2400.00
12,1,7,0.00000,1600.00,2400.00
13,1,4,366.78400,1600.00,2400.00
13,1,5,1578.40000,1600.00,2400.00
13,1,6,1605.89600,1600.00,2400.00
13,1,7,0.00000,1600.00,2400.00
14,1,4,399.87200,1600.00,2400.00
14,1,5,1602.94400,1600.00,2400.00
14,1,6,1600.67200,1600.00,2400.00
14,1,7,0.00000,1600.00,2400.00
15,1,4,412.30400,1600.00,2400.00
15,1,5,1596.62400,1600.00,2400.00
15,1,6,1601.97600,1600.00,2400.00
15,1,7,0.00000,1600.00,2400.00
16,1,4,385.24000,1600.00,2400.00
16,1,5,1604.55200,1600.00,2400.00
16,1,6,1602.27200,1600.00,2400.00
16,1,7,0.00000,1600.00,2400.00
17,1,4,391.99200,1600.00,2400.00
17,1,5,1580.71200,1600.00,2400.00
17,1,6,1600.64800,1600.00,2400.00
17,1,7,0.00000,1600.00,2400.00
18,1,4,394.36800,1600.00,2400.00
18,1,5,1610.50400,1600.00,2400.00
18,1,6,1605.88000,1600.00,2400.00
18,1,7,0.00000,1600.00,2400.00
19,1,4,413.35200,1600.00,2400.00
19,1,5,1600.64800,1600.00,2400.00
19,1,6,1600.64000,1600.00,2400.00
19,1,7,0.00000,1600.00,2400.00
20,1,4,198.84000,1600.00,2400.00
20,1,5,586.16800,1600.00,2400.00
20,1,6,1322.12800,1600.00,2400.00
20,1,7,197.44000,1600.00,2400.00
21,1,4,0.00000,1600.00,2400.00
21,1,5,0.00000,1600.00,2400.00
21,1,6,0.00000,1600.00,2400.00
21,1,7,0.00000,1600.00,2400.00
22,1,4,0.00000,1600.00,2400.00
22,1,5,0.00000,1600.00,2400.00
22,1,6,0.00000,1600.00,2400.00
22,1,7,0.00000,1600.00,2400.00
