time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,80.00,160.00
1,1,5,0.00000,80.00,160.00
1,1,6,0.00000,80.00,160.00
1,1,7,0.00000,,
2,1,4,0.00000,80.00,160.00
2,1,5,0.00000,80.00,160.00
2,1,6,0.00000,80.00,160.00
2,1,7,0.00000,,
3,1,4,0.00000,80.00,160.00
3,1,5,0.00000,80.00,160.00
3,1,6,0.00000,80.00,160.00
3,1,7,0.00000,,
4,1,4,0.00000,80.00,160.00
4,1,5,0.00000,80.00,160.00
4,1,6,0.00000,80.00,160.00
4,1,7,0.00000,,
5,1,4,0.00000,80.00,160.00
5,1,5,0.00000,80.00,160.00
5,1,6,0.00000,80.00,160.00
5,1,7,0.00000,,
6,1,4,0.00000,80.00,160.00
6,1,5,0.00000,80.00,160.00
6,1,6,0.00000,80.00,160.00
6,1,7,0.00000,,
7,1,4,0.00000,80.00,160.00
7,1,5,0.00000,80.00,160.00
7,1,6,0.00000,80.00,160.00
7,1,7,0.00000,,
8,1,4,0.00000,80.00,160.00
8,1,5,0.00000,80.00,160.00
8,1,6,0.00000,80.00,160.00
8,1,7,0.00000,,
9,1,4,0.00000,80.00,160.00
9,1,5,0.00000,80.00,160.00
9,1,6,0.00000,80.00,160.00
9,1,7,0.00000,,
10,1,4,3.68000,80.00,160.00
10,1,5,3.64800,80.00,160.00
10,1,6,3.64800,80.00,160.00
10,1,7,3.68000,,
11,1,4,173.08000,80.00,160.00
11,1,5,172.94400,80.00,160.00
11,1,6,173.60000,80.00,160.00
11,1,7,286.22400,,
12,1,4,157.05600,80.00,160.00
12,1,5,156.83200,80.00,160.00
12,1,6,156.78400,80.00,160.00
12,1,7,272.07200,,
13,1,4,155.11200,80.00,160.00
13,1,5,155.04800,80.00,160.00
13,1,6,154.94400,80.00,160.00
13,1,7,283.05600,,
14,1,4,153.25600,80.00,160.00
14,1,5,154.95200,80.00,160.00
14,1,6,153.11200,80.00,160.00
14,1,7,288.33600,,
15,1,4,157.81600,80.00,160.00
15,1,5,156.57600,80.00,160.00
15,1,6,157.91200,80.00,160.00
15,1,7,284.62400,,
16,1,4,160.00000,80.00,160.00
16,1,5,160.00000,80.00,160.00
16,1,6,160.00000,80.00,160.00
16,1,7,282.94400,,
17,1,4,160.00000,80.00,160.00
17,1,5,160.00000,80.00,160.00
17,1,6,160.00000,80.00,160.00
17,1,7,287.52000,,
18,1,4,160.00000,80.00,160.00
18,1,5,160.00000,80.00,160.00
18,1,6,160.00000,80.00,160.00
18,1,7,286.80000,,
19,1,4,160.00000,80.00,160.00
19,1,5,160.00000,80.00,160.00
19,1,6,160.00000,80.00,160.00
19,1,7,286.79200,,
20,1,4,160.00000,80.00,160.00
20,1,5,160.00000,80.00,160.00
20,1,6,160.00000,80.00,160.00
20,1,7,293.68000,,
21,1,4,160.00000,80.00,160.00
21,1,5,160.00000,80.00,160.00
21,1,6,160.00000,80.00,160.00
21,1,7,283.07200,,
22,1,4,160.00000,80.00,160.00
22,1,5,160.00000,80.00,160.00
22,1,6,160.00000,80.00,160.00
22,1,7,285.52800,,
23,1,4,0.00000,80.00,160.00
23,1,5,0.00000,80.00,160.00
23,1,6,0.00000,80.00,160.00
23,1,7,18.24000,,
24,1,4,0.00000,80.00,160.00
24,1,5,0.00000,80.00,160.00
24,1,6,0.00000,80.00,160.00
24,1,7,0.00000,,
25,1,4,0.00000,80.00,160.00
25,1,5,0.00000,80.00,160.00
25,1,6,0.00000,80.00,160.00
25,1,7,0.00000,,
