time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,2000.00,12000.00
2,1,4,0.00000,2000.00,12000.00
3,1,4,0.00000,2000.00,12000.00
4,2,4,0.00000,2000.00,12000.00
5,1,4,0.00000,2000.00,12000.00
6,2,4,0.00000,2000.00,12000.00
7,1,4,0.00000,2000.00,12000.00
8,2,4,0.00000,2000.00,12000.00
9,1,4,0.00000,2000.00,12000.00
10,2,4,0.00000,2000.00,12000.00
11,3,4,0.00000,2000.00,12000.00
12,1,4,0.00000,2000.00,12000.00
13,2,4,0.00000,2000.00,12000.00
14,3,4,0.00000,2000.00,12000.00
15,1,4,0.00000,2000.00,12000.00
16,2,4,0.00000,2000.00,12000.00
17,3,4,0.00000,2000.00,12000.00
18,4,4,0.00000,2000.00,12000.00
19,1,4,0.00000,2000.00,12000.00
20,2,4,0.00000,2000.00,12000.00
21,3,4,0.00000,2000.00,12000.00
22,4,4,0.00000,2000.00,12000.00
23,1,4,0.00000,2000.00,12000.00
24,2,4,0.00000,2000.00,12000.00
25,3,4,0.00000,2000.00,12000.00
26,4,4,0.00000,2000.00,12000.00
27,1,4,0.00000,2000.00,12000.00
28,2,4,0.00000,2000.00,12000.00
29,3,4,0.00000,2000.00,12000.00
30,4,4,0.00000,2000.00,12000.00
31,1,4,165.47200,2000.00,12000.00
32,2,4,6.63200,2000.00,12000.00
33,3,4,306.88000,2000.00,12000.00
34,4,4,35.76000,2000.00,12000.00
35,1,4,1313.84000,2000.00,12000.00
36,2,4,480.75200,2000.00,12000.00
37,3,4,2496.90400,2000.00,12000.00
38,4,4,1204.07200,2000.00,12000.00
39,1,4,1476.01600,2000.00,12000.00
40,2,4,398.00800,2000.00,12000.00
41,3,4,2790.96800,2000.00,12000.00
42,4,4,929.06400,2000.00,12000.00
43,1,4,1328.59200,2000.00,12000.00
44,2,4,660.65600,2000.00,12000.00
45,3,4,2751.97600,2000.00,12000.00
46,4,4,836.23200,2000.00,12000.00
47,1,4,1273.76000,2000.00,12000.00
48,2,4,602.26400,2000.00,12000.00
49,3,4,2895.77600,2000.00,12000.00
50,4,4,505.72000,2000.00,12000.00
51,1,4,655.14400,2000.00,12000.00
52,2,4,660.72800,2000.00,12000.00
53,3,4,1506.53600,2000.00,12000.00
54,4,4,2047.33600,2000.00,12000.00
55,1,4,1517.31200,2000.00,12000.00
56,2,4,365.44800,2000.00,12000.00
57,3,4,2998.13600,2000.00,12000.00
58,4,4,714.01600,2000.00,12000.00
59,1,4,1371.54400,2000.00,12000.00
60,2,4,267.96800,2000.00,12000.00
61,3,4,2722.85600,2000.00,12000.00
62,4,4,480.80000,2000.00,12000.00
63,1,4,1503.86400,2000.00,12000.00
64,2,4,569.22400,2000.00,12000.00
65,3,4,3379.78400,2000.00,12000.00
66,4,4,157.81600,2000.00,12000.00
67,1,4,1557.65600,2000.00,12000.00
68,2,4,436.42400,2000.00,12000.00
69,3,4,3307.09600,2000.00,12000.00
70,4,4,304.09600,2000.00,12000.00
71,1,4,1254.64000,2000.00,12000.00
72,2,4,573.54400,2000.00,12000.00
73,3,4,2797.42400,2000.00,12000.00
74,4,4,939.23200,2000.00,12000.00
75,1,4,1156.68800,2000.00,12000.00
76,2,4,380.53600,2000.00,12000.00
77,3,4,2427.47200,2000.00,12000.00
78,4,4,545.47200,2000.00,12000.00
79,1,4,732.83200,2000.00,12000.00
80,2,4,498.08800,2000.00,12000.00
81,3,4,1333.15200,2000.00,12000.00
82,4,4,1095.06400,2000.00,12000.00
83,1,4,0.00000,2000.00,12000.00
84,2,4,0.00000,2000.00,12000.00
85,3,4,0.00000,2000.00,12000.00
86,4,4,0.00000,2000.00,12000.00
87,1,4,0.00000,2000.00,12000.00
88,2,4,0.00000,2000.00,12000.00
89,3,4,0.00000,2000.00,12000.00
90,4,4,0.00000,2000.00,12000.00
