time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,0,8000.00
2,1,4,0.00000,0,8000.00
3,1,4,0.00000,0,8000.00
4,2,4,0.00000,0,8000.00
5,1,4,0.00000,0,8000.00
6,2,4,0.00000,0,8000.00
7,1,4,0.00000,0,8000.00
8,2,4,0.00000,0,8000.00
9,1,4,0.00000,0,8000.00
10,2,4,0.00000,0,8000.00
11,3,4,0.00000,0,8000.00
12,1,4,0.00000,0,8000.00
13,2,4,0.00000,0,8000.00
14,3,4,0.00000,0,8000.00
15,1,4,0.00000,0,8000.00
16,2,4,0.00000,0,8000.00
17,3,4,0.00000,0,8000.00
18,4,4,0.00000,0,8000.00
19,1,4,0.00000,0,8000.00
20,2,4,0.00000,0,8000.00
21,3,4,0.00000,0,8000.00
22,4,4,0.00000,0,8000.00
23,1,4,0.00000,0,8000.00
24,2,4,0.00000,0,8000.00
25,3,4,0.00000,0,8000.00
26,4,4,0.00000,0,8000.00
27,1,4,186.19200,0,8000.00
28,2,4,226.09600,0,8000.00
29,3,4,276.01600,0,8000.00
30,4,4,2661.24800,0,8000.00
31,1,4,738.99200,0,8000.00
32,2,4,911.85600,0,8000.00
33,3,4,1104.00000,0,8000.00
34,4,4,1319.04000,0,8000.00
35,1,4,729.69600,0,8000.00
36,2,4,896.80000,0,8000.00
37,3,4,1104.01600,0,8000.00
38,4,4,1319.05600,0,8000.00
39,1,4,735.82400,0,8000.00
40,2,4,904.32000,0,8000.00
41,3,4,1104.00000,0,8000.00
42,4,4,1319.04000,0,8000.00
43,1,4,732.86400,0,8000.00
44,2,4,904.32000,0,8000.00
45,3,4,1094.80000,0,8000.00
46,4,4,1319.04000,0,8000.00
47,1,4,696.20800,0,8000.00
48,2,4,859.24800,0,8000.00
49,3,4,1044.03200,0,8000.00
50,4,4,1242.20800,0,8000.00
51,1,4,708.59200,0,8000.00
52,2,4,889.31200,0,8000.00
53,3,4,1076.46400,0,8000.00
54,4,4,1286.09600,0,8000.00
55,1,4,741.95200,0,8000.00
56,2,4,904.32000,0,8000.00
57,3,4,1094.80000,0,8000.00
58,4,4,1319.04000,0,8000.00
59,1,4,729.71200,0,8000.00
60,2,4,896.78400,0,8000.00
61,3,4,1094.81600,0,8000.00
62,4,4,1319.07200,0,8000.00
63,1,4,738.99200,0,8000.00
64,2,4,904.32000,0,8000.00
65,3,4,1104.00000,0,8000.00
66,4,4,1319.04000,0,8000.00
67,1,4,714.52800,0,8000.00
68,2,4,881.74400,0,8000.00
69,3,4,1080.78400,0,8000.00
70,4,4,1275.08800,0,8000.00
71,1,4,797.23200,0,8000.00
72,2,4,979.69600,0,8000.00
73,3,4,1094.33600,0,8000.00
74,4,4,1079.08000,0,8000.00
75,1,4,373.92000,0,8000.00
76,2,4,124.75200,0,8000.00
77,3,4,0.00000,0,8000.00
78,4,4,0.00000,0,8000.00
