time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,120.00,800.00
1,1,5,0.00000,120.00,800.00
1,1,6,0.00000,120.00,800.00
1,1,7,0.00000,120.00,800.00
2,1,4,0.00000,120.00,800.00
2,1,5,0.00000,120.00,800.00
2,1,6,0.00000,120.00,800.00
2,1,7,0.00000,120.00,800.00
3,1,4,0.00000,120.00,800.00
3,1,5,0.00000,120.00,800.00
3,1,6,0.00000,120.00,800.00
3,1,7,0.00000,120.00,800.00
4,1,4,0.00000,120.00,800.00
4,1,5,0.00000,120.00,800.00
4,1,6,0.00000,120.00,800.00
4,1,7,0.00000,120.00,800.00
5,1,4,459.39200,120.00,800.00
5,1,5,556.03200,120.00,800.00
5,1,6,622.58400,120.00,800.00
5,1,7,370.20800,120.00,800.00
6,1,4,794.56000,120.00,800.00
6,1,5,797.08800,120.00,800.00
6,1,6,793.86400,120.00,800.00
6,1,7,785.72000,120.00,800.00
7,1,4,794.31200,120.00,800.00
7,1,5,796.65600,120.00,800.00
7,1,6,793.82400,120.00,800.00
7,1,7,795.98400,120.00,800.00
8,1,4,794.38400,120.00,800.00
8,1,5,797.22400,120.00,800.00
8,1,6,793.92000,120.00,800.00
8,1,7,789.16000,120.00,800.00
9,1,4,794.23200,120.00,800.00
9,1,5,796.72800,120.00,800.00
9,1,6,793.78400,120.00,800.00
9,1,7,795.80000,120.00,800.00
10,1,4,794.13600,120.00,800.00
10,1,5,797.11200,120.00,800.00
10,1,6,793.87200,120.00,800.00
10,1,7,789.83200,120.00,800.00
11,1,4,794.56000,120.00,800.00
11,1,5,796.82400,120.00,800.00
11,1,6,793.80800,120.00,800.00
11,1,7,788.36000,120.00,800.00
12,1,4,794.28000,120.00,800.00
12,1,5,796.76000,120.00,800.00
12,1,6,793.79200,120.00,800.00
12,1,7,796.03200,120.00,800.00
13,1,4,794.34400,120.00,800.00
13,1,5,797.16000,120.00,800.00
13,1,6,793.88800,120.00,800.00
13,1,7,785.72000,120.00,800.00
14,1,4,794.40000,120.00,800.00
14,1,5,796.57600,120.00,800.00
14,1,6,793.79200,120.00,800.00
14,1,7,792.36000,120.00,800.00
15,1,4,791.40000,120.00,800.00
15,1,5,785.92800,120.00,800.00
15,1,6,796.82400,120.00,800.00
15,1,7,653.71200,120.00,800.00
16,1,4,797.27200,120.00,800.00
16,1,5,796.67200,120.00,800.00
16,1,6,793.60800,120.00,800.00
16,1,7,797.30400,120.00,800.00
17,1,4,794.12000,120.00,800.00
17,1,5,778.89600,120.00,800.00
17,1,6,793.33600,120.00,800.00
17,1,7,754.54400,120.00,800.00
18,1,4,794.00800,120.00,800.00
18,1,5,797.19200,120.00,800.00
18,1,6,793.84800,120.00,800.00
18,1,7,792.49600,120.00,800.00
19,1,4,794.07200,120.00,800.00
19,1,5,797.01600,120.00,800.00
19,1,6,793.76000,120.00,800.00
19,1,7,795.96000,120.00,800.00
20,1,4,794.61600,120.00,800.00
20,1,5,797.12000,120.00,800.00
20,1,6,793.95200,120.00,800.00
20,1,7,792.60800,120.00,800.00
21,1,4,264.00800,120.00,800.00
21,1,5,398.53600,120.00,800.00
21,1,6,396.94400,120.00,800.00
21,1,7,181.52000,120.00,800.00
22,1,4,0.00000,120.00,800.00
22,1,5,0.00000,120.00,800.00
22,1,6,0.00000,120.00,800.00
22,1,7,0.00000,120.00,800.00
23,1,4,0.00000,120.00,800.00
23,1,5,0.00000,120.00,800.00
23,1,6,0.00000,120.00,800.00
23,1,7,0.00000,120.00,800.00
