time,tpt
4.5,0.00000
5.0,0.00000
5.5,0.00000
6.0,0.00000
6.5,0.00000
7.0,0.00000
7.5,0.00000
8.0,0.00000
8.5,0.00000
9.0,0.00000
9.5,0.00000
10.0,0.00000
10.5,0.00000
11.0,0.00000
11.5,0.00000
12.0,0.00000
12.5,0.00000
13.0,0.00000
13.5,0.00000
14.0,0.00000
14.5,0.00000
15.0,0.00000
15.5,0.00000
16.0,0.00000
16.5,0.00000
17.0,0.00000
17.5,0.00000
18.0,0.00000
18.5,0.00000
19.0,0.00000
19.5,0.00000
20.0,0.00000
20.5,0.00000
21.0,0.00000
21.5,0.00000
22.0,0.00000
22.5,0.00000
23.0,0.00000
23.5,0.00000
24.0,0.00000
24.5,0.00000
25.0,0.00000
25.5,2082864.00000
26.0,3475056.00000
26.5,3455072.00000
27.0,3474880.00000
27.5,3463072.00000
28.0,3458032.00000
28.5,3439920.00000
29.0,3461600.00000
29.5,3452864.00000
30.0,3415232.00000
30.5,3461952.00000
31.0,3439488.00000
31.5,3474880.00000
32.0,3455296.00000
32.5,3474768.00000
33.0,3462720.00000
33.5,3441072.00000
34.0,3460080.00000
34.5,3457440.00000
35.0,3464352.00000
35.5,3463360.00000
36.0,3527424.00000
36.5,3166672.00000
37.0,0.00000
37.5,0.00000
38.0,0.00000
38.5,0.00000
39.0,0.00000
39.5,0.00000
40.0,0.00000
40.5,0.00000
41.0,0.00000
41.5,0.00000
42.0,0.00000
42.5,0.00000
43.0,0.00000
