time,tpt
4.5,0.00000
5.0,0.00000
5.5,0.00000
6.0,0.00000
6.5,0.00000
7.0,0.00000
7.5,0.00000
8.0,0.00000
8.5,0.00000
9.0,0.000003
9.5,0.00000
10.0,0.00000
10.5,0.00000
11.0,0.00000
11.5,0.00000
12.0,0.00000
12.5,0.00000
13.0,0.00000
13.5,0.00000
14.0,0.00000
14.5,0.00000
15.0,0.00000
15.5,0.00000
16.0,0.00000
16.5,0.00000
17.0,0.00000
17.5,0.00000
18.0,0.00000
18.5,0.00000
19.0,0.00000
19.5,0.00000
20.0,0.00000
20.5,0.00000
21.0,0.00000
21.5,0.00000
22.0,0.00000
22.5,0.00000
23.0,0.00000
23.5,0.00000
24.0,0.00000
24.5,0.00000
25.0,0.00000
25.5,0.00000
26.0,2604704.00000
26.5,2897568.00000
27.0,2966224.00000
27.5,2941920.00000
28.0,2942064.00000
28.5,2941968.00000
29.0,3058144.00000
29.5,3049968.00000
30.0,3065024.00000
30.5,3064464.00000
31.0,3051776.00000
31.5,3016768.00000
32.0,3021024.00000
32.5,3022400.00000
33.0,3082480.00000
33.5,3050960.00000
34.0,3067616.00000
34.5,3151424.00000
35.0,3069504.00000
35.5,2976880.00000
36.0,2971312.00000
36.5,2971392.00000
37.0,3460992.00000
37.5,3628512.00000
38.0,459920.00000
38.5,0.00000
39.0,0.00000
39.5,0.00000
40.0,0.00000
40.5,0.00000
41.0,0.00000
41.5,0.00000
42.0,0.00000
42.5,0.00000
